dataset,model,context,accuracy,pairwise_mismatch
french-difficulty,CamemBERT,no_context,0.5229,36.9812
french-difficulty,Mistral-7B,with_context,0.5125,48.4146
french-difficulty,GPT-3.5,with_context,0.499,51.9792
french-difficulty,GPT-3.5,no_context,0.4854,61.125
french-difficulty,Babbage,with_context,0.4854,60.9188
french-difficulty,Davinci,no_context,0.4698,76.5188
french-difficulty,Davinci,with_context,0.4698,66.4396
french-difficulty,Babbage,no_context,0.4385,86.4021
french-difficulty,Mistral-7B,no_context,0.3542,39.3771
french-difficulty,FKGL,no_context,0.3458,112.3771
french-difficulty,GFI,no_context,0.3417,112.6271
french-difficulty,ARI,no_context,0.3417,111.5646
ljl,GPT-3.5,no_context,0.7337,9.2736
ljl,GPT-3.5,with_context,0.724,11.0605
ljl,Mistral-7B,with_context,0.6368,13.6223
ljl,CamemBERT,no_context,0.6247,13.9516
ljl,Babbage,no_context,0.6126,18.3341
ljl,Davinci,with_context,0.6102,18.6925
ljl,Davinci,no_context,0.586,21.0896
ljl,Babbage,with_context,0.586,23.7482
ljl,Mistral-7B,no_context,0.4722,29.9855
ljl,GFI,no_context,0.4504,44.0969
ljl,FKGL,no_context,0.4213,54.5375
ljl,ARI,no_context,0.3995,47.0944
sentences,GPT-3.5,with_context,0.8979,13.1125
sentences,GPT-3.5,no_context,0.8667,18.1083
sentences,Davinci,no_context,0.825,20.9042
sentences,CamemBERT,no_context,0.8229,22.2125
sentences,Davinci,with_context,0.8146,23.825
sentences,Babbage,no_context,0.8125,21.2625
sentences,Babbage,with_context,0.8125,25.6417
sentences,Mistral-7B,with_context,0.7479,39.7625
sentences,Mistral-7B,no_context,0.6312,61.7542
sentences,ARI,no_context,0.3438,88.2375
sentences,FKGL,no_context,0.3354,99.3167
sentences,GFI,no_context,0.3229,101.9583
french-difficulty,GPT-4o-mini,no_context,0.6156,34.3521
french-difficulty,GPT-4o,no_context,0.5844,34.5229
ljl,GPT-4o,no_context,0.7651,6.2131
ljl,GPT-4o-mini,no_context,0.7506,10.8571
sentences,GPT-4o,no_context,0.9021,17.8917
sentences,GPT-4o-mini,no_context,0.8875,14.7417
