dataset,model,context,accuracy,pairwise_mismatch
french-difficulty,GPT-4o-mini,with_context,0.6156,34.3521
french-difficulty,GPT-4o,with_context,0.5844,34.5229
french-difficulty,GPT-4o-mini,no_context,0.5823,45.5604
french-difficulty,GPT-4o,no_context,0.5271,62.1562
ljl,GPT-4o,with_context,0.7651,6.2131
ljl,GPT-4o-mini,no_context,0.7506,10.8571
ljl,GPT-4o-mini,with_context,0.7506,10.8039
ljl,GPT-4o,no_context,0.7312,7.2881
sentences,GPT-4o,with_context,0.9021,17.8917
sentences,GPT-4o-mini,with_context,0.8875,14.7417
sentences,GPT-4o-mini,no_context,0.8688,15.2625
sentences,GPT-4o,no_context,0.7708,32.7875
